no,judul_proposal,judul_skripsi,prodi
1593,Pengembangan Sistem Informasi Manajemen dan Monitoring Akademik Siswa &quot;SIMMAS&quot; pada Sekolah Menegah Kejuruan(SMK) Berbasis Web,Pengembangan Sistem Informasi Manajemen Administrasi Perangkat Pembelajaran pada Sekolah Menegah Kejuruan (SMK) Berbasis Web,PTI
1594,Pengembangan Sistem Informasi Manajemen Administrasi Perangkat Pembelajaran dan Supervisi pada Sekolah Menegah Kejuruan (SMK),Pengembangan Sistem Informasi Manajemen Administrasi Perangkat Pembelajaran dan Supervisi Guru pada Sekolah Menengah Kejuruan (SMK),PTI
1595,ANALISIS FAKTOR-FAKTOR MOTIVASIONAL PESERTA DIDIK SMK DALAM MENGIKUTI BIMBINGAN BELAJAR KEJURUAN  DI LUAR SEKOLAH,PENGARUH PROBLEM BASED LEARNING TERHADAP PENINGKATAN HASIL BELAJAR SISWA PADA MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR DI SMK NEGERI 3 MALANG,PTI
1596,PERANCANGAN DAN ANALISIS SISTEM INFORMASI PERPUSTAKAAN BERBASIS WEB (STUDI KASUS : SMK NEGERI 11 MALANG),PEMBANGUNAN SISTEM INFORMASI PERPUSTAKAAN BERBASIS WEB MENGGUNAKAN METODE RAPID APPLICATION DEVELOPMENT (RAD)(STUDI PADA : SMK NEGERI 11 MALANG),PTI
1597,ANALISIS EFEKTIVITAS PENERAPAN BLENDED LEARNING MENGGUNAKAN EDMODO DALAM MENINGKATKAN HASIL BELAJAR SISWA PADA MATA PELAJARAN PEMOGRAMAN DASAR KELAS X JURUSAN TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 3 MALANG TAHUN AJARAN 2018/2019,"IMPLEMENTASI PEMBELAJARAN DENGAN BANTUAN EDMODO UNTUK MENINGKATKAN KUALITAS INTERAKSI MULTI ARAH ANTARA GURU DAN SISWA PADA MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR
(STUDI PADA KELAS X JURUSAN TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 3 MALANG)",PTI
1598,Pengembangan Media Pembelajaran Interaktif Berbasis Flash Guna Membantu Siswa Dalam Memahami Materi Perangkat Pc Pada Siswa Kelas X Tkj Smk Negeri 5 Malang,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF MATERI PENGENALAN KOMPONEN PC PADA SISWA KELAS X TKJ SMK NEGERI 5 MALANG,PTI
1599,ANALISIS MOTIVASI DAN MINAT BELAJAR PESERTA DIDIK TERHADAP PRESTASI BELAJAR KELAS X DALAM MENEMPUH MATA PELAJARAN BERBASIS TEKNOLOGI INFORMASI,"PENGARUH MOTIVASI BELAJAR, MINAT BELAJAR, KEADAAN SOSIAL EKONOMI KELUARGA SISWA TERHADAP PRESTASI BELAJAR KELAS X DALAM MENEMPUH PROGRAM KEAHLIAN TEKNIK KOMPUTER JARINGAN 
(Studi pada: SMK NEGERI 2 MALANG)",PTI
1600,ANALISIS PERBANDINGAN USER EXPERIENCE PADA E-LEARNING (STUDI KASUS: EDMODO DAN GOOGLE CLASSROOM),EVALUASI USER EXPERIENCE PADA EDMODO DAN GOOGLE CLASSROOM MENGGUNAKAN TECHNIQUE FOR USER EXPERIENCE EVALUATION IN E-LEARNING (TUXEL)(STUDI KASUS: SMKN 5 MALANG),PTI
1601,PENGEMBANGAN MULTIMEDIA INTERAKTIF BERBASIS FLASH PADA SEKOLAH DASAR NEGERI MOJOLANGU 2 KELAS IV UNTUK MATERI PELAJARAN MEDAN MAGNET DENGAN MENGGUNAKAN MODEL APPED,PENGEMBANGAN MULTIMEDIA INTERAKTIF MATERI PEMROGRAMAN DASAR UNTUK SISWA KELAS X JURUSAN MULTIMEDIA SMK NASIONAL MALANG DENGAN MENGGUNAKAN MODEL APPED,PTI
1602,ANALISIS FAKTOR YANG MENENTUKAN PENEMPATAN PRAKTEK KERJA LAPANGAN (PKL) (STUDI KASUS SMK NASIONAL MALANG),ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PENEMPATAN PRAKTEK KERJA LAPANGAN (PKL) MENGGUNAKAN MIXED METHOD (STUDI PADA SMK NASIONAL MALANG),PTI
1603,ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PENEMPATAN PRAKTEK KERJA LAPANGAN (PKL) MENGGUNAKAN MIX METHOD                                          (STUDI PADA SMK NASIONAL MALANG),ANALISIS FAKTOR-FAKTOR YANG MENENTUKAN PENEMPATAN PRAKTEK KERJA LAPANGAN (PKL) MENGGUNAKAN MIX METHOD (STUDI PADA SMK NASIONAL MALANG),PTI
1604,Pengembangan Desain Antarmuka Sistem Pembimbingan Akademik Dengan Pendekatan Human Centered Design (HCD) (Studi Kasus : Jurusan Sistem Informasi FILKOM UB),"PENGEMBANGAN DESAIN ANTARMUKA SISTEM
PEMBIMBINGAN AKADEMIK DENGAN PENDEKATAN
HUMAN CENTERED DESIGN (HCD)
(STUDI KASUS JURUSAN SISTEM INFORMASI FILKOM UB)",PTI
1605,PENGEMBANGAN DESAIN ANTARMUKA SISTEM PEMBIMBINGAN AKADEMIK DENGAN PENDEKATAN HUMAN CENTERED DESIGN (HCD) (STUDI KASUS JURUSAN SISTEM INFORMASI FAKULTAS ILMU KOMPUTER UNIVERSITAS BRAWIJAYA),,PTI
1606,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS MULTIMEDIA INTERAKTIF PADA MATA PELAJARAN SAINS MATERI TATA SURYA MENGGUNAKAN MODEL APPED (STUDI KASUS: SD BRAWIJAYA SMART SCHOOL),PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS MULTIMEDIA INTERAKTIF PADA MATA PELAJARAN SAINS MATERI TATA SURYA MENGGUNAKAN MODEL APPED (STUDI KASUS: SD BRAWIJAYA SMART SCHOOL),PTI
1607,Analisa Data Nilai Siswa menggunakan algoritma Apriori Asosiation Rule (studi kasus: SMKN 3 Malang),KLASIFIKASI KINERJA PESERTA DIDIK PADA JURUSAN TEKNIK KOMPUTER DAN JARINGAN (TKJ) DI SMK NEGERI 3 MALANG MENGGUNAKAN ALGORITME NAÏVE BAYES,PTI
1608,ANALISIS FAKTOR YANG MENENTUKAN PENEMPATAN PRAKERIN DI SMK NEGERI 3 MALANG,ANALISIS FAKTOR PENEMPATAN DAN PENENTU KEBERHASILAN PKL MENGGUNAKAN MIXED METHODS (STUDI PADA SMK PGRI 3 MALANG),PTI
1609,ANALISIS FAKTOR PENEMPATAN DAN PENENTU KEBERHASILAN PKL MENGGUNAKAN MIXED METHODS (STUDI PADA SMK PGRI 3 MALANG),ANALISIS FAKTOR PENEMPATAN DAN PENENTU KEBERHASILAN PRAKTIK KERJA LAPANGAN (PKL) MENGGUNAKAN METODE KUANTITATIF DESKRIPTIF (STUDI PADA SMK PGRI 3 MALANG),PTI
1610,ANALISIS PERBANDINGAN BLENDED LEARNING BERBASIS EDMODO DAN GOOGLE CLASSROOM DITINJAU DARI MOTIVASI DAN HASIL BELAJAR SISWA,Analisis Perbandingan Blended Learning berbasis Edmodo dan Google Classroom ditinjau dari Motivasi dan Hasil Belajar Siswa,PTI
1611,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS FLASH PADA MATA PELAJARAN RANCANG BANGUN JARINGAN KELAS XI JURUSAN TKJ SMKN 2 MALANG,PENGEMBANGAN MEDIA PEMBELAJARAN BERBASIS FLASH PADA MATA PELAJARAN RANCANG BANGUN JARINGAN KELAS XII JURUSAN TKJ SMKN 2 MALANG DENGAN MODEL PENGEMBANGAN FOUR-D,PTI
1612,PENGEMBANGAN E-MODUL PADA MATA PELAJARAN PERAWATAN PERSONAL COMPUTER (PC)  UNTUK KELAS X PROGRAM KEAHLIAN TEKNIK KOMPUTER DAN JARINGAN DI SMK NEGERI 2 MALANG,PENGEMBANGAN E-MODUL PADA MATA PELAJARAN KOMPUTER DAN JARINGAN DASAR UNTUK KELAS X PROGRAM KEAHLIAN TEKNIK KOMPUTER DAN JARINGAN DI SMK NEGERI 2 MALANG DENGAN MODEL PENGEMBANGAN FOUR-D,PTI
1613,Pengembangan Sistem Arsip Berbasis Desktop Menggunakan Metode Rapid Application Development,Pengembangan Sistem Arsip Berbasis Desktop Menggunakan Metode Rapid Application Development (STUDI KASUS SMK MUHAMMADIYAH 1 MALANG),PTI
1614,Evaluasi User experience dengan  Metode Heuristic evaluation (studi kasus : weblog ruang guru),Evaluasi User Experience Aplikasi Perangkat Bergerak Ruang Guru dengan Metode Heuristic Evaluation,PTI
1615,PENGEMBANGAN DESAIN ANTARMUKA WEBSITE E-LEARNING UNTUK MENINGKATKAN MINAT BELAJAR PROGRAMMING BAGI MAHASISWA FAKULTAS ILMU KOMPUTER UNIVERSITAS BRAWIJAYA,PENGEMBANGAN ANTARMUKA WEBSITE E-LEARNING UNTUK MENINGKATKAN MINAT BELAJAR PEMROGRAMAN DASAR DALAM BAHASA PEMROGRAMAN JAVA BAGI MAHASISWA FAKULTAS ILMU KOMPUTER UNIVERSITAS BRAWIJAYA,PTI
1616,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK RANAH PSIKOMOTORIK PADA MATA PELAJARAN SISTEM KOMPUTER DI KELAS X TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 3 MALANG DENGAN MODEL PENGEMBANGAN 4D,PENGEMBANGAN MEDIA PEMBELAJARAN INTERAKTIF UNTUK RANAH KOGNITIF PADA MATA PELAJARAN SISTEM KOMPUTER DI KELAS X TEKNIK KOMPUTER DAN JARINGAN SMK NEGERI 3 MALANG DENGAN MODEL PENGEMBANGAN 4D,PTI
1617,Analisis dan  Evaluasi Penerapan Ujian Online Berbasis Web  Menggunakan Technology Acceptance Model (TAM) (Studi pada SMK Nasional Malang),"ANALISIS PENGARUH PENERAPAN UJIAN ONLINE BERBASIS WEB MENGGUNAKAN TECHNOLOGY ACCEPTANCE MODEL (TAM)
(STUDI PADA SMK NASIONAL MALANG)",PTI
1618,PENGARUH PENGGUNAAN MEDIA POWER POINT TERHADAP MOTIVASI BELAJAR DAN RAGAM SUMBER BELAJAR YANG DIGUNAKAN PESERTA DIDIK,"PENGARUH PENGGUNAAN MEDIA PEMBELAJARAN INTERAKTIF BERBASIS POWERPOINT TERHADAP MOTIVASI BELAJAR, KEBIASAAN BELAJAR, DAN HASIL BELAJAR SISWA DI SMK NEGERI 3 MALANG",PTI
1619,Pengembangan Media Pembelajaran Ilmu Pengetahuan Alam Kelas 5 Sekolah Dasar Pada Pokok Bahasan Rangka Manusia Di Madrasah Ibtidaiyah Al-Huda Malang Menggunakan Model APPED,Pengembangan Media Pembelajaran Interaktif Pemrograman Dasar Kelas X Sekolah Menengah Kejuruan di SMK PGRI 3 Malang dengan Mengadaptasi Model APPED,PTI
1620,Pengaruh Game Edukasi Quiz Adventure Pada Motivasi dan hasil Belajar Siswa SMA Brawijaya Smart School,,PTI
